ticker,name,close,gross_margin_ttm,operating_margin_ttm,net_margin_ttm,ebitda_margin_ttm
NYSE:NOC,NOC,597.1600,19.42%,10.01%,9.82%,13.63%
OTC:ATLPF,ATLPF,18.0000,42.73%,21.00%,16.09%,26.39%
NYSE:SHW,SHW,336.2550,48.87%,16.33%,11.03%,19.10%
NASDAQ:ORLY,ORLY,98.0100,53.59%,19.30%,14.22%,22.16%
NYSE:AEM,AEM,164.6600,49.66%,46.25%,30.65%,62.52%
OTC:RLXXF,RLXXF,45.1290,62.86%,31.09%,20.19%,39.20%
OTC:MURGF,MURGF,626.1010,,12.00%,7.20%,
NASDAQ:MSTR,MSTR,287.6035,70.10%,-13.37%,1036.61%,-5.65%
NYSE:CRH,CRH,120.5700,35.99%,13.97%,8.98%,19.42%
OTC:NNFSF,NNFSF,7.2100,58.96%,34.53%,29.14%,41.29%
NASDAQ:STRD,STRD,79.4000,70.10%,-13.37%,1036.61%,-5.65%
NASDAQ:STRC,STRC,98.7350,70.10%,-13.37%,1036.61%,-5.65%
NASDAQ:STRF,STRF,110.1950,70.10%,-13.37%,1036.61%,-5.65%
NASDAQ:STRK,STRK,88.4200,70.10%,-13.37%,1036.61%,-5.65%
AMEX:HWM/P,HWM/P,63.7900,29.23%,24.45%,18.09%,28.07%
OTC:NGGTF,NGGTF,16.2500,25.93%,25.93%,15.38%,37.76%
NYSE:CI,CI,301.9000,,3.33%,1.92%,
OTC:ADTTF,ADTTF,110.0000,59.66%,37.52%,25.14%,40.40%
NYSE:BNS,BNS,64.7550,,11.59%,9.86%,
OTC:ITOCF,ITOCF,55.8860,16.23%,4.52%,6.52%,7.60%
NYSE:HWM,HWM,199.3206,29.23%,24.45%,18.09%,28.07%
OTC:VCISF,VCISF,142.7000,14.48%,11.94%,6.49%,17.46%
NASDAQ:ABNB,ABNB,128.8300,72.06%,22.48%,22.67%,23.20%
OTC:MPNGF,MPNGF,13.0000,36.91%,7.03%,8.19%,9.57%
NASDAQ:MDLZ,MDLZ,60.8450,31.17%,12.79%,9.81%,16.37%
NYSE:ECL,ECL,276.7200,43.97%,17.27%,13.59%,23.27%
OTC:BKFCF,BKFCF,0.8495,,19.23%,17.74%,
NYSE:NU,NU,15.9650,,27.17%,19.73%,
NASDAQ:CTAS,CTAS,191.0900,48.41%,22.89%,17.48%,27.67%
NYSE:NET,NET,220.3000,76.12%,-9.65%,-6.22%,3.04%
NYSE:CM,CM,82.1700,,16.16%,13.04%,
NYSE:TDG,TDG,1353.9800,57.73%,46.92%,20.40%,51.14%
NYSE:ELV,ELV,340.8900,,4.35%,2.84%,
NYSE:BK,BK,108.0800,,18.30%,16.03%,
OTC:TKOMF,TKOMF,39.4700,,19.79%,16.58%,
NYSE:CVNA,CVNA,349.8900,20.91%,9.30%,3.46%,11.07%
NYSE:USB,USB,48.3500,,22.39%,16.71%,
NYSE:EMR,EMR,133.4000,47.38%,18.76%,12.42%,27.56%
NYSE:GLW,GLW,87.2700,33.84%,13.39%,5.77%,22.76%
NYSE:UPS,UPS,87.8950,18.32%,9.63%,6.36%,13.71%
NYSE:USB/PQ,USB/PQ,15.8800,,22.39%,16.71%,
NYSE:USB/PA,USB/PA,808.1500,,22.39%,16.71%,
NYSE:USB/PP,USB/PP,24.0650,,22.39%,16.71%,
NYSE:USB/PS,USB/PS,19.6151,,22.39%,16.71%,
NYSE:USB/PH,USB/PH,18.9801,,22.39%,16.71%,
NYSE:USB/PR,USB/PR,16.9000,,22.39%,16.71%,
NYSE:BK/PK,BK/PK,25.8700,,18.30%,16.03%,
OTC:MZHOF,MZHOF,29.7865,,13.08%,10.63%,
NASDAQ:MRVL,MRVL,85.6000,44.64%,6.02%,-1.43%,24.33%
NYSE:PNC,PNC,187.0100,,23.72%,19.08%,
NYSE:JCI,JCI,112.3100,36.33%,12.35%,8.50%,15.67%
NASDAQ:TRI,TRI,162.9500,26.35%,26.35%,22.00%,38.18%
NASDAQ:MAR,MAR,270.2600,19.48%,15.38%,9.60%,16.13%
NYSE:MSI,MSI,439.6550,50.31%,25.48%,19.07%,29.00%
NYSE:AON,AON,338.4775,89.07%,26.51%,15.46%,32.13%
OTC:DLEGF,DLEGF,5.7000,25.14%,11.07%,10.53%,15.50%
NYSE:APO,APO,126.1300,55.16%,22.64%,12.61%,27.36%
NYSE:AJG,AJG,281.0000,91.75%,21.12%,13.20%,28.42%
NYSE:ITW,ITW,247.0000,43.15%,25.98%,21.31%,28.51%
